,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
110,Kent Jones,97,71.162,287.1,68.46,66.95,-.141,.317,.175,"1,196",2,,2007,"$651,108",USA
111,Kevin Na,84,70.884,287.4,62.64,61.97,.348,-.027,.321,"3,362",3,,2007,"$856,669",USA
112,Kevin Stadler,95,71.895,292.9,60.27,65.57,-.750,.050,-.700,"3,055",2,,2007,"$810,876",USA
113,Kevin Sutherland,85,70.747,291.3,60.62,65.49,-.023,.082,.059,"6,278",3,,2007,"$1,351,942",USA
114,Kirk Triplett,77,71.818,277.5,70.39,65.58,-.595,.010,-.584,"1,033",,,2007,"$316,034",USA
115,Kyle Reifers,71,72.407,296.3,59.15,64.49,-.322,-.442,-.764,897,,,2007,"$276,369",USA
116,Lee Janzen,66,71.715,288.0,59.06,64.32,-.226,-.382,-.609,"1,694",,,2007,"$409,189",USA
117,Lucas Glover,98,70.417,295.4,64.14,66.27,.113,.619,.731,"7,729",3,,2007,"$1,664,167",USA
118,Luke Donald,69,70.118,278.4,68.15,63.18,.438,.489,.927,"9,075",5,,2007,"$2,190,053",ENG
119,Marco Dawson,73,71.336,289.8,59.84,63.62,.103,-.107,-.004,"1,669",1,,2007,"$521,432",USA
120,Mark Brooks,53,71.783,275.2,72.81,64.85,-.211,-.500,-.712,489,,,2007,"$162,839",USA
121,Mark Calcavecchia,93,70.579,290.2,65.09,64.11,-.213,.717,.504,"16,285",6,1,2007,"$2,993,332",USA
122,Mark Hensby,81,71.408,287.0,63.45,63.37,.204,-.470,-.267,"1,561",1,,2007,"$969,731",AUS
123,Mark Wilson,87,70.570,285.3,67.10,64.86,.024,.443,.467,"6,888",3,1,2007,"$1,637,112",USA
124,Mathew Goggin,97,70.703,298.7,67.36,68.84,-.018,.365,.347,"2,468",1,,2007,"$969,488",AUS
125,Mathias Grönberg,95,71.214,301.5,59.70,64.50,-.004,.001,-.003,"1,515",2,,2007,"$785,180",SWE
126,Matt Hendrix,63,72.369,301.7,62.63,64.94,-.339,-.878,-1.217,238,,,2007,"$108,269",USA
127,Matt Kuchar,85,70.703,277.1,66.20,64.95,.041,.369,.410,"3,915",2,,2007,"$886,146",USA
128,Michael Allen,74,71.077,293.0,64.31,66.59,-.035,.129,.094,"1,279",2,,2007,"$1,016,952",USA
129,Michael Boyd,61,72.095,278.7,74.34,63.06,.072,-.933,-.861,294,,,2007,"$126,839",USA
130,Michael Putnam,96,71.215,294.5,59.97,67.03,-.166,-.009,-.175,"1,791",,,2007,"$422,359",USA
131,Michael Sim,52,71.219,291.1,61.92,64.53,.298,-.258,.040,"1,144",1,,2007,"$399,900",AUS
132,Mike Weir,82,70.151,289.3,63.82,63.03,-.294,1.005,.711,"4,003",4,1,2007,"$1,986,053",CAN
133,Nathan Green,103,70.644,284.3,61.80,61.90,.241,.022,.263,"6,767",2,,2007,"$1,380,317",AUS
134,Nick O'Hern,72,70.630,279.3,62.68,60.21,-.057,.227,.170,"5,330",3,,2007,"$1,342,391",AUS
135,Nick Watney,87,70.789,301.4,61.02,66.48,-.198,.454,.256,"6,881",3,1,2007,"$1,838,629",USA
136,Padraig Harrington,64,69.822,293.2,57.52,60.30,.260,.666,.926,"10,208",3,1,2007,"$2,658,283",IRL
137,Parker McLachlin,83,71.516,288.5,57.01,60.55,.419,-.763,-.344,"1,307",1,,2007,"$627,582",USA
138,Pat Perez,84,70.051,296.6,61.13,65.49,.090,.240,.330,"6,820",6,,2007,"$1,678,295",USA
139,Paul Gow,70,72.016,280.1,65.51,63.72,-.294,-.690,-.985,"1,001",1,,2007,"$264,149",AUS
140,Paul Goydos,60,70.807,272.4,68.83,59.42,.370,-.177,.193,"5,665",1,1,2007,"$1,229,355",USA
141,Paul Stankowski,52,71.427,295.7,60.03,63.19,-.159,-.190,-.349,"1,288",,,2007,"$282,389",USA
142,Peter Lonard,85,70.611,290.9,66.70,64.61,-.179,.320,.141,"4,764",3,,2007,"$1,259,881",AUS
143,Phil Mickelson,73,69.456,298.1,56.94,64.95,.156,1.441,1.597,"27,394",7,3,2007,"$5,819,988",USA
