,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
781,Boo Weekley,66,71.176,296.6,66.74,71.68,-1.1,0.818,-0.282,223,0,0,2011,279531,USA
782,Brandt Jobe,100,70.334,298.5,65.87,69.16,-0.015,0.611,0.596,1238,4,0,2011,1629764,USA
783,Brandt Snedeker,85,69.859,287.2,64.02,64.9,0.588,0.507,1.094,1668,7,1,2011,3587206,USA
784,Brendan Steele,89,71.01899999999999,292.8,64.83,65.45,-0.06,0.054000000000000006,-0.006,1160,3,1,2011,1976310,USA
785,Brendon de Jonge,105,70.429,287.8,64.04,66.45,0.273,0.303,0.5760000000000001,1024,3,0,2011,1241326,ZIM
786,Brian Davis,105,70.469,283.3,70.33,67.35,-0.035,0.64,0.605,1438,2,0,2011,1308009,ENG
787,Brian Gay,90,70.214,269.8,72.77,63.44,0.556,0.18100000000000002,0.737,685,3,0,2011,1157525,USA
788,Briny Baird,60,70.435,289.1,68.74,69.14,0.078,0.465,0.5429999999999999,258,3,0,2011,942286,USA
789,Bryce Molder,82,70.433,282.0,66.46,65.0,0.77,-0.11599999999999999,0.653,523,6,1,2011,1957944,USA
790,Bubba Watson,85,70.625,314.9,56.92,69.83,-0.182,0.775,0.593,578,3,2,2011,3477811,USA
791,Cameron Beckman,71,71.642,284.3,61.05,63.18,-0.11199999999999999,-0.541,-0.653,324,0,0,2011,455085,USA
792,Cameron Tringale,110,70.751,294.3,60.99,67.3,0.19699999999999998,0.042,0.239,1002,4,0,2011,1327807,USA
793,Camilo Villegas,69,71.024,294.4,57.98,62.5,-0.19399999999999998,0.284,0.091,1532,4,0,2011,1231918,COL
794,Carl Pettersson,95,70.289,291.8,62.29,65.77,0.485,0.284,0.77,1284,5,0,2011,1540723,SWE
795,Chad Campbell,99,70.273,291.1,63.31,71.13,-0.368,0.932,0.564,1076,1,0,2011,1104024,USA
796,Charl Schwartzel,58,69.619,297.0,61.73,65.97,0.052000000000000005,0.898,0.95,1560,3,1,2011,2604558,RSA
797,Charles Howell III,108,69.66,297.3,57.51,68.91,0.38,0.86,1.239,708,7,0,2011,2509223,USA
798,Charley Hoffman,93,71.097,299.8,60.34,66.79,-0.256,0.782,0.525,1369,2,0,2011,1462591,USA
799,Charlie Wi,83,70.757,285.8,61.35,63.65,0.8079999999999999,-0.502,0.305,711,1,0,2011,1188494,KOR
800,Chez Reavie,92,70.744,293.5,67.32,68.6,-0.077,0.49700000000000005,0.419,1220,5,0,2011,2285067,USA
801,Chris Couch,73,70.595,296.8,64.96,64.99,0.397,0.052000000000000005,0.45,573,3,0,2011,922496,USA
802,Chris DiMarco,93,70.90899999999999,277.9,66.67,65.11,-0.145,0.12300000000000001,-0.021,499,0,0,2011,761932,USA
803,Chris Kirk,87,70.414,295.7,56.47,66.67,-0.20199999999999999,0.634,0.43200000000000005,1332,4,1,2011,1877627,USA
804,Chris Riley,76,71.143,279.3,70.19,64.81,-0.292,0.201,-0.091,292,1,0,2011,397204,USA
805,Chris Stroud,88,70.83800000000001,291.2,60.03,67.0,-0.155,0.212,0.057,1013,2,0,2011,1096499,USA
806,Colt Knost,80,71.747,279.0,66.02,62.01,0.271,-0.938,-0.667,227,0,0,2011,296817,USA
807,D.A. Points,89,70.62100000000001,287.4,66.45,64.92,0.22699999999999998,0.071,0.297,1140,3,1,2011,2034156,USA
808,D.J. Brigman,67,71.803,290.2,55.27,60.92,-0.245,-0.8079999999999999,-1.053,140,0,0,2011,191491,USA
809,D.J. Trahan,91,70.87,298.6,59.81,68.99,-0.815,0.9840000000000001,0.16899999999999998,474,1,0,2011,668166,USA
810,Daniel Summerhays,75,72.487,284.9,62.83,63.24,-0.292,-1.288,-1.581,210,0,0,2011,301899,USA
811,David Duval,67,71.873,296.3,51.88,64.1,-0.364,-0.43700000000000006,-0.8009999999999999,191,1,0,2011,400654,USA
812,David Hearn,88,70.709,290.9,63.36,68.82,0.223,-0.001,0.222,377,3,0,2011,869072,CAN
813,David Mathis,83,70.899,282.0,66.82,64.29,0.215,-0.12,0.095,326,1,0,2011,715404,USA
814,David Toms,78,69.706,279.1,71.82,70.2,0.446,0.836,1.2819999999999998,648,7,1,2011,3858090,USA
815,Davis Love III,70,70.548,298.5,59.45,68.25,-0.318,0.708,0.389,565,2,0,2011,1056300,USA
816,Dean Wilson,62,71.195,276.8,65.27,62.63,0.49200000000000005,-0.7120000000000001,-0.22,318,0,0,2011,401314,USA
817,Derek Lamely,65,72.60600000000001,297.9,50.57,62.87,-0.321,-1.062,-1.383,123,0,0,2011,301146,USA
818,Dustin Johnson,72,70.457,314.2,57.17,68.39,-0.5489999999999999,1.125,0.5760000000000001,2488,6,1,2011,4309961,USA
